1,8,TP000001,2021-01-25,2021-02-08,N/A,Returned,
2,13,TP000006,2021-02-05,2021-03-05,N/A,Returned,
3,10,TP000011,2021-02-12,2021-02-26,N/A,Returned,
4,4,TP000021,2021-02-15,2021-03-15,N/A,Returned,
5,1,TP000020,2021-03-01,2021-03-22,N/A,Returned,
6,7,TP000019,2021-03-01,2021-03-15,N/A,Returned,
7,12,TP000007,2021-03-10,2021-03-31,N/A,Returned,
8,14,TP000014,2021-03-13,2021-03-27,N/A,Returned,
9,15,TP000002,2021-03-13,2021-04-03,2.00,Renewed,
10,10,TP000003,2021-04-02,2021-04-23,0.00,Renewed,
11,4,TP000001,2021-04-05,2021-04-26,0.00,Renewed,
